Ignore mouse detection:
[[Overwatch.exe!0x29595b0] + 0x1c8] + 0x13

Overwatch.exe!0x2ca7400 "AcceptsTab"
Overwatch.exe!0x2ca4fb8 "Action"
Overwatch.exe!0x2ca8568 "Actions"
Overwatch.exe!0x2ca6810 "ActiveClocks"
Overwatch.exe!0x2c9f3b0 "ActiveOnFocus"
Overwatch.exe!0x2ca11e8 "ActiveOnFocus"
Overwatch.exe!0x2ca34c8 "ActiveOnFocus"
Overwatch.exe!0x2ca8728 "ActiveOnFocus"
Overwatch.exe!0x2c9d9c0 "ActualHeight"
Overwatch.exe!0x2c9d980 "ActualWidth"
Overwatch.exe!0x2c9e838 "AllowColorBlindForUI"
Overwatch.exe!0x2c9e828 "AllowTeamColorDropdowns"
Overwatch.exe!0x2c9bd28 "AlternateBackground"
Overwatch.exe!0x2c9bd18 "AlternateForeground"
Overwatch.exe!0x2ca1010 "AlternationCount"
Overwatch.exe!0x2ca5958 "Amount"
Overwatch.exe!0x2c94310 "Amplitude"
Overwatch.exe!0x2c9cd78 "Amplitude"
Overwatch.exe!0x2c9d090 "Amplitude"
Overwatch.exe!0x2c93978 "AnalogStick"
Overwatch.exe!0x2ca4d00 "Angle"
Overwatch.exe!0x2ca61b0 "AngleX"
Overwatch.exe!0x2ca61c0 "AngleY"
Overwatch.exe!0x2c946a0 "ArcThickness"
Overwatch.exe!0x2c98e68 "AutoCycleInterval"
Overwatch.exe!0x2ca7e08 "AutoReverse"
Overwatch.exe!0x2c9f100 "BackIcon"
Overwatch.exe!0x2ca3a28 "Background"
Overwatch.exe!0x2c9bce8 "BackgroundContent"
Overwatch.exe!0x2c9bcf8 "BackgroundContentTemplate"
Overwatch.exe!0x2c9bd08 "BackgroundContentTemplateSelector"
Overwatch.exe!0x2ca5b08 "BackingFill"
Overwatch.exe!0x2c93988 "BeginAngle"
Overwatch.exe!0x2ca7e18 "BeginTime"
Overwatch.exe!0x2c9aa70 "Binding"
Overwatch.exe!0x2c9bfe0 "Binding"
Overwatch.exe!0x2c9c378 "Binding"
Overwatch.exe!0x2ca4330 "Binding"
Overwatch.exe!0x2c9a9e0 "BlendMode"
Overwatch.exe!0x2c992a8 "BlueOpacity"
Overwatch.exe!0x2c99288 "BlueX"
Overwatch.exe!0x2c99298 "BlueY"
Overwatch.exe!0x2c96488 "BorderBrush"
Overwatch.exe!0x2c964a8 "BorderThickness"
Overwatch.exe!0x2c98ce0 "Bottom"
Overwatch.exe!0x2c9d070 "Bounces"
Overwatch.exe!0x2c9d080 "Bounciness"
Overwatch.exe!0x2c99e90 "By"
Overwatch.exe!0x2c9cad8 "By"
Overwatch.exe!0x2ca0738 "By"
Overwatch.exe!0x2ca3dd0 "By"
Overwatch.exe!0x2ca4830 "By"
Overwatch.exe!0x2ca7990 "By"
Overwatch.exe!0x2ca04b0 "CachedState"
Overwatch.exe!0x2ca0d80 "CanTakeForeground"
Overwatch.exe!0x2c9c388 "Cases"
Overwatch.exe!0x2ca4d10 "CenterX"
Overwatch.exe!0x2ca4e60 "CenterX"
Overwatch.exe!0x2ca61d0 "CenterX"
Overwatch.exe!0x2ca4d20 "CenterY"
Overwatch.exe!0x2ca4e70 "CenterY"
Overwatch.exe!0x2ca61e0 "CenterY"
Overwatch.exe!0x2ca7270 "CharacterCasing"
Overwatch.exe!0x2ca40e8 "Child"
Overwatch.exe!0x2ca7e78 "Children"
Overwatch.exe!0x2c98ad8 "ClickMode"
